measurement_id,timestamp,panjang_cm,lebar_cm,tinggi_cm,volume_cm3,berat_volumetrik_g,berat_aktual_g,chargeable_weight_g,chargeable_weight_kg,chargeable_source,actual_weight_range_g,detection_mode,detection_image,mask_image,json_file
integrated_20260522_014303_414882,2026-05-22 01:43:03,11.1,9.14,2.986,302.969,50.495,563.732,563.732,0.563732,actual,0.643,hsv_cardboard,hasil_tahap14/archive/detection_20260522_014303_414882.jpg,hasil_tahap14/archive/mask_20260522_014303_414882.jpg,hasil_tahap14/archive/integrated_20260522_014303_414882.json
integrated_20260522_014333_271334,2026-05-22 01:43:33,10.936,9.05,3.198,316.46,52.743,578.301,578.301,0.578301,actual,0.397,hsv_cardboard,hasil_tahap14/archive/detection_20260522_014333_271334.jpg,hasil_tahap14/archive/mask_20260522_014333_271334.jpg,hasil_tahap14/archive/integrated_20260522_014333_271334.json
integrated_20260522_014626_060760,2026-05-22 01:46:26,10.221,8.481,5.032,436.155,72.693,568.474,568.474,0.568474,actual,3.509,hsv_cardboard,hasil_tahap14/archive/detection_20260522_014626_060760.jpg,hasil_tahap14/archive/mask_20260522_014626_060760.jpg,hasil_tahap14/archive/integrated_20260522_014626_060760.json
integrated_20260522_014649_623485,2026-05-22 01:46:49,8.38,4.444,10.729,399.667,66.611,576.598,576.598,0.576598,actual,1.798,hsv_cardboard,hasil_tahap14/archive/detection_20260522_014649_623485.jpg,hasil_tahap14/archive/mask_20260522_014649_623485.jpg,hasil_tahap14/archive/integrated_20260522_014649_623485.json
integrated_20260522_014715_934174,2026-05-22 01:47:15,10.801,4.795,8.229,426.658,71.11,578.542,578.542,0.578542,actual,1.729,hsv_cardboard,hasil_tahap14/archive/detection_20260522_014715_934174.jpg,hasil_tahap14/archive/mask_20260522_014715_934174.jpg,hasil_tahap14/archive/integrated_20260522_014715_934174.json
integrated_20260522_015235_134700,2026-05-22 01:52:35,6.139,6.029,6.493,240.318,40.053,282.937,282.937,0.282937,actual,1.5,hsv_cardboard,hasil_tahap14/archive/detection_20260522_015235_134700.jpg,hasil_tahap14/archive/mask_20260522_015235_134700.jpg,hasil_tahap14/archive/integrated_20260522_015235_134700.json
integrated_20260522_015309_331362,2026-05-22 01:53:09,6.528,6.456,4.748,200.119,33.353,282.149,282.149,0.282149,actual,0.21,hsv_cardboard,hasil_tahap14/archive/detection_20260522_015309_331362.jpg,hasil_tahap14/archive/mask_20260522_015309_331362.jpg,hasil_tahap14/archive/integrated_20260522_015309_331362.json
integrated_20260522_015536_252313,2026-05-22 01:55:36,6.142,6.077,6.493,242.475,40.413,281.875,281.875,0.281875,actual,0.758,hsv_cardboard,hasil_tahap14/archive/detection_20260522_015536_252313.jpg,hasil_tahap14/archive/mask_20260522_015536_252313.jpg,hasil_tahap14/archive/integrated_20260522_015536_252313.json
integrated_20260522_015555_211321,2026-05-22 01:55:55,6.069,6.049,6.491,238.279,39.713,283.145,283.145,0.283145,actual,0.451,hsv_cardboard,hasil_tahap14/archive/detection_20260522_015555_211321.jpg,hasil_tahap14/archive/mask_20260522_015555_211321.jpg,hasil_tahap14/archive/integrated_20260522_015555_211321.json
integrated_20260522_015616_207525,2026-05-22 01:56:16,6.265,6.204,5.625,218.631,36.438,280.351,280.351,0.280351,actual,0.198,hsv_cardboard,hasil_tahap14/archive/detection_20260522_015616_207525.jpg,hasil_tahap14/archive/mask_20260522_015616_207525.jpg,hasil_tahap14/archive/integrated_20260522_015616_207525.json
